"stag","event","Gender","Age","Profession","Is_coached","Head_gender","Grey_wage","Transportation","Extraversion","Independence","Selfcontrol","Anxiety","Novator","Long_emp_retention","Grey_wage_vv_1","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
7.030800821,1,1,35,1,0,0,1,1,2,0,0,1,1,0,0.126103243012059,0.126103243012059,"Grey_wage_vv_1",NA,0,1,0,0,1
15.93429158,1,0,35,1,0,1,1,1,3,1,0,0,1,0,0.126103243012059,0.126103243012059,"Grey_wage_vv_1",NA,0,2,0,0,1
67.35112936,1,0,40,1,0,1,1,0,1,0,0,1,1,1,0.126103243012059,0.126103243012059,"Grey_wage_vv_1",NA,1,3,0,0,1
20.92813142,1,1,23,1,1,1,1,1,4,1,0,0,1,0,0.126103243012059,0.126103243012059,"Grey_wage_vv_1",NA,1,4,0,0,1
15.34291581,1,0,30,1,0,1,1,1,3,0,0,0,1,0,0.126103243012059,0.126103243012059,"Grey_wage_vv_1",NA,1,5,0,0,1
45.37166324,1,0,29,1,0,1,1,1,1,1,1,1,0,0,0.126103243012059,0.126103243012059,"Grey_wage_vv_1",NA,1,6,0,0,1
22.47227926,1,0,29,0,0,0,1,0,1,0,0,1,0,0,0.126103243012059,0.126103243012059,"Grey_wage_vv_1",NA,1,7,0,0,1
59.20328542,1,0,25,1,1,0,1,1,3,0,1,0,0,0,0.126103243012059,0.126103243012059,"Grey_wage_vv_1",NA,1,8,0,0,1
3.252566735,1,0,35,1,0,0,1,1,4,1,1,0,1,0,0.126103243012059,0.126103243012059,"Grey_wage_vv_1",NA,1,9,0,0,1
3.252566735,1,0,35,1,0,0,1,1,4,1,1,0,0,0,0.126103243012059,0.126103243012059,"Grey_wage_vv_1",NA,1,10,0,0,1
28.15605749,1,0,25,0,0,0,1,1,4,1,1,1,1,0,0.126103243012059,0.126103243012059,"Grey_wage_vv_1",NA,1,11,0,0,1
60.94455852,1,0,30.40033257,1,0,1,1,1,2,1,0,0,1,1,0.126103243012059,0.126103243012059,"Grey_wage_vv_1",NA,2,12,0,0,1
43.4661191,1,0,22,1,0,1,1,1,4,0,1,1,0,0,0.126103243012059,0.126103243012059,"Grey_wage_vv_1",NA,2,13,0,0,1
