"stag","event","Gender","Age","Profession","Is_coached","Head_gender","Grey_wage","Transportation","Extraversion","Independence","Selfcontrol","Anxiety","Novator","Long_emp_retention","Grey_wage_vv_1","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
7.030800821,1,1,35,1,0,0,1,1,2,0,0,1,1,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,0,1,0,0,1
8.410677618,1,1,32,0,1,0,1,1,4,0,1,1,0,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,0,2,0,0,1
8.969199179,1,0,42,1,1,1,1,1,2,1,0,0,1,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,0,3,0,0,1
8.607802875,1,0,29,1,0,0,1,1,1,1,0,0,1,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,0,4,0,0,1
8.936344969,1,0,24,0,1,0,1,1,2,1,0,1,1,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,0,5,0,0,1
33.57700205,1,0,25,1,0,0,1,1,1,0,0,0,1,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,0,6,0,0,1
15.34291581,1,0,30,1,0,1,1,1,3,0,0,0,1,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,0,7,0,0,1
26.4476386,1,0,27,0,1,1,1,1,3,1,0,0,1,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,0,8,0,0,1
45.37166324,1,0,29,1,0,1,1,1,1,1,1,1,0,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,0,9,0,0,1
28.15605749,1,0,25,0,0,0,1,1,4,1,1,1,1,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,0,10,0,0,1
60.94455852,1,0,30.40033257,1,0,1,1,1,2,1,0,0,1,1,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,1,11,0,0,1
22.73511294,1,0,34,1,0,1,1,0,3,0,0,0,0,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,1,12,0,0,1
13.07597536,1,0,21,1,0,0,1,1,3,1,0,0,0,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,1,13,0,0,1
36.92813142,1,0,49,0,0,0,1,1,4,1,0,0,1,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,1,14,0,0,1
7.589322382,1,1,36,1,0,1,1,1,4,0,1,1,1,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,1,15,0,0,1
50.72689938,1,1,38,1,0,1,1,0,2,0,0,1,0,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,1,16,0,0,1
81.83983573,1,0,29,1,0,0,1,1,4,1,1,0,1,1,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,2,17,0,0,1
55.72073922,1,0,29,1,0,0,1,1,2,1,0,0,0,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,2,18,0,0,1
18.95687885,1,1,36,0,0,1,1,0,1,0,1,0,0,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,2,19,0,0,1
59.49897331,1,0,23,0,0,0,1,1,2,0,0,1,0,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,2,20,0,0,1
6.603696099,1,1,22,0,0,0,1,1,1,0,0,1,1,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,2,21,0,0,1
59.20328542,1,0,25,1,0,0,1,1,3,0,1,0,0,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,2,22,0,0,1
96.52566735,1,0,24,1,0,0,1,1,2,0,1,0,1,1,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,3,23,0,0,1
17.57700205,1,0,25,1,0,1,1,1,2,1,0,0,1,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,3,24,0,0,1
3.351129363,1,0,24,1,0,0,1,1,4,1,0,0,0,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,3,25,0,0,1
80.06570842,1,0,45,1,0,0,1,1,4,0,1,1,0,1,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,4,26,0,0,1
42.57905544,1,0,30,1,0,0,1,1,2,1,0,0,1,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,4,27,0,0,1
23.6550308,1,0,37,1,0,1,1,1,2,0,0,1,1,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,4,28,0,0,1
12.09034908,1,1,25,1,1,0,1,1,2,0,0,0,0,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",NA,4,29,0,0,1
19.8110883,1,0,26,0,0,1,0,1,3,0,1,0,0,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",0.137931034482759,4,29,0,1,0
3.975359343,1,0,29,0,0,1,1,1,2,1,0,1,0,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",0.133333333333333,4,30,0,1,1
49.3798768,1,0,22,0,0,0,0,0,3,1,1,0,0,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",0.133333333333333,4,30,0,2,0
22.07802875,1,1,52,0,0,1,1,1,4,1,0,1,1,0,0.152474571548789,0.152474571548789,"Grey_wage_vv_1",0.129032258064516,4,31,0,2,1
