"stag","event","Gender","Age","Profession","Is_coached","Head_gender","Grey_wage","Transportation","Extraversion","Independence","Selfcontrol","Anxiety","Novator","Long_emp_retention","Grey_wage_vv_1","Extraversion_vv_2","Extraversion_vv_3","Extraversion_vv_4","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
7.030800821,1,1,35,1,0,0,1,1,2,0,0,1,1,0,0.130985915492958,0.0351818723911747,0.128205128205128,0.199871794871795,0.199871794871795,"Extraversion_vv_4",NA,0,0,0,1,0
15.93429158,1,0,35,1,0,1,1,1,3,1,0,0,1,0,0.130985915492958,0.0351818723911747,0.128205128205128,0.199871794871795,0.199871794871795,"Extraversion_vv_4",NA,0,0,0,2,0
67.35112936,1,0,40,1,0,1,1,0,1,0,0,1,1,1,0.130985915492958,0.0351818723911747,0.128205128205128,0.199871794871795,0.199871794871795,"Extraversion_vv_4",NA,0,0,1,3,0
20.92813142,1,1,23,1,1,1,1,1,4,1,0,0,1,0,0.130985915492958,0.0351818723911747,0.128205128205128,0.199871794871795,0.199871794871795,"Extraversion_vv_4",-0.333333333333333,0,1,1,3,1
15.34291581,1,0,30,1,0,1,1,1,3,0,0,0,1,0,0.130985915492958,0.0351818723911747,0.128205128205128,0.199871794871795,0.199871794871795,"Extraversion_vv_4",-0.25,0,1,1,4,0
45.37166324,1,0,29,1,0,1,1,1,1,1,1,1,0,0,0.130985915492958,0.0351818723911747,0.128205128205128,0.199871794871795,0.199871794871795,"Extraversion_vv_4",-0.2,0,1,1,5,0
22.47227926,1,0,29,0,0,0,1,0,1,0,0,1,0,0,0.130985915492958,0.0351818723911747,0.128205128205128,0.199871794871795,0.199871794871795,"Extraversion_vv_4",-0.166666666666667,0,1,1,6,0
59.20328542,1,0,25,1,1,0,1,1,3,0,1,0,0,0,0.130985915492958,0.0351818723911747,0.128205128205128,0.199871794871795,0.199871794871795,"Extraversion_vv_4",-0.142857142857143,0,1,1,7,0
3.252566735,1,0,35,1,0,0,1,1,4,1,1,0,1,0,0.130985915492958,0.0351818723911747,0.128205128205128,0.199871794871795,0.199871794871795,"Extraversion_vv_4",-0.142857142857143,0,2,1,7,1
3.252566735,1,0,35,1,0,0,1,1,4,1,1,0,0,0,0.130985915492958,0.0351818723911747,0.128205128205128,0.199871794871795,0.199871794871795,"Extraversion_vv_4",-0.142857142857143,0,3,1,7,1
28.15605749,1,0,25,0,0,0,1,1,4,1,1,1,1,0,0.130985915492958,0.0351818723911747,0.128205128205128,0.199871794871795,0.199871794871795,"Extraversion_vv_4",-0.142857142857143,0,4,1,7,1
60.94455852,1,0,30.40033257,1,0,1,1,1,2,1,0,0,1,1,0.130985915492958,0.0351818723911747,0.128205128205128,0.199871794871795,0.199871794871795,"Extraversion_vv_4",-0.25,0,4,2,8,0
43.4661191,1,0,22,1,0,1,1,1,4,0,1,1,0,0,0.130985915492958,0.0351818723911747,0.128205128205128,0.199871794871795,0.199871794871795,"Extraversion_vv_4",-0.25,0,5,2,8,1
22.73511294,1,0,34,1,0,1,1,0,3,0,0,0,0,0,0.130985915492958,0.0351818723911747,0.128205128205128,0.199871794871795,0.199871794871795,"Extraversion_vv_4",-0.222222222222222,0,5,2,9,0
7.589322382,1,0,22,1,1,0,0,0,2,0,1,0,0,0,0.130985915492958,0.0351818723911747,0.128205128205128,0.199871794871795,0.199871794871795,"Extraversion_vv_4",-0.2,0,5,2,10,0
19.08829569,1,0,36,0,0,0,1,0,4,1,0,0,1,0,0.130985915492958,0.0351818723911747,0.128205128205128,0.199871794871795,0.199871794871795,"Extraversion_vv_4",-0.2,0,6,2,10,1
36.92813142,1,0,49,0,0,0,1,1,4,1,0,0,1,0,0.130985915492958,0.0351818723911747,0.128205128205128,0.199871794871795,0.199871794871795,"Extraversion_vv_4",-0.2,0,7,2,10,1
3.975359343,1,0,29,1,1,1,1,1,1,0,0,0,0,0,0.130985915492958,0.0351818723911747,0.128205128205128,0.199871794871795,0.199871794871795,"Extraversion_vv_4",-0.181818181818182,0,7,2,11,0
95.21149897,1,0,22,0,0,1,1,1,1,0,0,0,1,1,0.130985915492958,0.0351818723911747,0.128205128205128,0.199871794871795,0.199871794871795,"Extraversion_vv_4",-0.25,0,7,3,12,0
41.69199179,1,0,21,1,1,0,1,1,1,0,0,1,1,0,0.130985915492958,0.0351818723911747,0.128205128205128,0.199871794871795,0.199871794871795,"Extraversion_vv_4",-0.230769230769231,0,7,3,13,0
50.72689938,1,1,38,1,0,1,1,0,2,0,1,1,0,0,0.130985915492958,0.0351818723911747,0.128205128205128,0.199871794871795,0.199871794871795,"Extraversion_vv_4",-0.214285714285714,0,7,3,14,0
