stag,event,Gender,Age,Profession,Is_coached,Head_gender,Grey_wage,Transportation,Extraversion,Independence,Selfcontrol,Anxiety,Novator,Long_emp_retention,LIFT_SCORE,TREATMENT_NAME,FOLLOW_REC,N_TREATED,Y_TREATED,N_UNTREATED,Y_UNTREATED,UPLIFT
45.37166324,1,0,29.0,1,0,1,1,1,1,1,1,1,0,0,7.499842557639197,Extraversion_vv_4,0,0.0,0.0,1.0,0.0,0.0
13.66735113,1,0,27.0,1,0,1,1,0,1,0,1,0,0,0,7.27126197411183,Extraversion_vv_4,0,0.0,0.0,2.0,0.0,0.0
13.897330599999998,1,0,27.0,1,0,1,1,0,1,0,1,0,0,0,7.27126197411183,Extraversion_vv_4,0,0.0,0.0,3.0,0.0,0.0
3.975359343,1,0,29.0,1,1,1,1,1,2,1,0,1,0,0,5.803542129900313,Extraversion_vv_4,0,0.0,0.0,4.0,0.0,0.0
3.975359343,1,0,29.0,0,0,1,1,1,2,1,0,1,0,0,5.619241308347944,Extraversion_vv_4,0,0.0,0.0,5.0,0.0,0.0
108.550308,1,1,27.0,1,0,1,1,0,4,1,1,0,0,1,4.984341295541913,Extraversion_vv_4,1,1.0,1.0,5.0,0.0,1.0
59.89322382,1,0,27.0,1,0,1,1,0,2,1,0,0,0,0,4.160650045688766,Extraversion_vv_4,0,1.0,1.0,6.0,0.0,1.0
109.10882959999998,0,0,29.0,1,0,1,1,0,4,0,1,0,0,1,4.118875808596242,Extraversion_vv_4,1,2.0,2.0,6.0,0.0,1.0
74.74332649,1,0,25.0,1,0,1,1,0,4,0,1,0,0,1,3.958182274398553,Extraversion_vv_4,1,3.0,3.0,6.0,0.0,1.0
50.72689938,1,0,28.0,0,0,1,1,0,1,0,1,0,0,0,3.575584186800493,Extraversion_vv_4,0,3.0,3.0,7.0,0.0,1.0
46.22587269,1,1,29.0,0,0,1,1,1,2,1,0,1,1,0,3.4047804415918903,Extraversion_vv_4,0,3.0,3.0,8.0,0.0,1.0
3.975359343,1,0,29.0,1,1,1,1,1,2,1,0,0,0,0,3.1948020220365523,Extraversion_vv_4,0,3.0,3.0,9.0,0.0,1.0
16.39425051,1,0,28.0,1,0,1,1,0,1,0,0,0,0,0,3.1093141396605186,Extraversion_vv_4,0,3.0,3.0,10.0,0.0,1.0
3.975359343,1,0,29.0,0,0,1,1,1,2,1,0,0,0,0,3.098625812603847,Extraversion_vv_4,0,3.0,3.0,11.0,0.0,1.0
28.84599589,1,1,31.0,0,0,1,0,1,2,1,1,0,1,0,2.8981257531263354,Grey_wage_vv_1,0,3.0,3.0,12.0,0.0,1.0
94.78439425,0,0,31.0,1,1,1,1,1,3,1,0,1,1,1,2.886072846024039,Extraversion_vv_4,0,3.0,3.0,13.0,1.0,0.9230769230769231
13.40451745,1,0,30.40033257,1,0,0,1,1,2,1,0,1,0,0,2.7222239038685583,Extraversion_vv_4,0,3.0,3.0,14.0,1.0,0.9285714285714286
12.02464066,1,1,30.0,0,0,1,0,0,3,0,0,1,0,0,2.638561679324052,Grey_wage_vv_1,0,3.0,3.0,15.0,1.0,0.9333333333333333
12.02464066,1,1,30.0,0,0,1,0,0,3,0,0,1,0,0,2.638561679324052,Grey_wage_vv_1,0,3.0,3.0,16.0,1.0,0.9375
73.42915811,0,0,29.0,0,0,1,1,1,4,0,1,1,0,1,2.6139240478373087,Extraversion_vv_4,1,4.0,4.0,16.0,1.0,0.9375
14.85010267,1,1,25.0,1,0,0,1,0,2,0,0,0,0,0,2.5649553224973034,Extraversion_vv_4,0,4.0,4.0,17.0,1.0,0.9411764705882353
13.01026694,1,1,34.0,1,0,1,0,1,4,0,1,1,0,0,2.5097440569366785,Grey_wage_vv_1,0,4.0,4.0,18.0,1.0,0.9444444444444444
13.10882957,1,0,21.0,1,0,0,0,1,4,1,1,0,1,0,2.4673074662051495,Grey_wage_vv_1,0,4.0,4.0,19.0,1.0,0.9473684210526316
6.143737166,1,0,31.0,1,0,1,0,0,3,0,1,1,1,0,2.409554954421403,Grey_wage_vv_1,0,4.0,4.0,20.0,1.0,0.95
