"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","WorkHour_vv_2","WorkHour_vv_3","WorkHour_vv_4","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
31,0,0,1,2,0,1,0,3,1,0,0,-0.0435944140862173,0.197994741592434,0.375700129254632,0.375700129254632,"WorkHour_vv_4",NA,0,0,0,1,0
40,0,0,1,2,0,1,0,3,1,0,0,-0.0435944140862173,0.197994741592434,0.375700129254632,0.375700129254632,"WorkHour_vv_4",NA,0,0,0,2,0
20,0,0,1,2,0,1,0,1,1,0,0,0.0689230240155901,-0.0240857946554149,0.375700129254632,0.375700129254632,"WorkHour_vv_4",NA,0,0,0,3,0
32,0,0,1,3,1,1,0,3,1,1,1,-0.0435944140862173,0.122190513883392,0.375700129254632,0.375700129254632,"WorkHour_vv_4",NA,0,0,1,4,0
34,0,0,1,2,0,1,0,3,1,0,0,-0.0435944140862173,0.197994741592434,0.375700129254632,0.375700129254632,"WorkHour_vv_4",NA,0,0,1,5,0
58,0,0,1,3,0,1,0,3,1,0,1,0.0812823576264437,0.243452380952381,0.375700129254632,0.375700129254632,"WorkHour_vv_4",NA,0,0,2,6,0
31,0,0,1,2,0,1,0,3,1,0,0,-0.0435944140862173,0.197994741592434,0.375700129254632,0.375700129254632,"WorkHour_vv_4",NA,0,0,2,7,0
38,0,0,1,2,0,1,0,3,1,0,1,-0.0435944140862173,0.197994741592434,0.375700129254632,0.375700129254632,"WorkHour_vv_4",NA,0,0,3,8,0
29,0,0,1,2,0,0,0,3,0,0,0,-0.0435944140862173,-0.0288836846213895,0.375700129254632,0.375700129254632,"WorkHour_vv_4",NA,0,0,3,9,0
18,0,0,1,1,0,1,0,1,1,0,0,0.0689230240155901,-0.0240857946554149,0.375700129254632,0.375700129254632,"WorkHour_vv_4",NA,0,0,3,10,0
19,0,0,1,2,0,1,0,3,1,0,0,0.0689230240155901,-0.0240857946554149,0.375700129254632,0.375700129254632,"WorkHour_vv_4",NA,0,0,3,11,0
62,0,0,1,3,0,1,0,3,1,0,1,0.0812823576264437,0.243452380952381,0.375700129254632,0.375700129254632,"WorkHour_vv_4",NA,0,0,4,12,0
22,0,0,1,3,0,1,0,2,1,0,1,-0.0435944140862173,-0.101851851851852,0.375700129254632,0.375700129254632,"WorkHour_vv_4",NA,0,0,5,13,0
48,0,0,1,3,1,1,0,3,1,1,1,0.177212206904678,0.122190513883392,0.375700129254632,0.375700129254632,"WorkHour_vv_4",NA,0,0,6,14,0
59,0,0,1,2,0,1,0,3,0,0,1,0.0812823576264437,0.0323695788812068,0.375700129254632,0.375700129254632,"WorkHour_vv_4",NA,0,0,7,15,0
24,0,0,1,3,0,1,0,4,1,0,0,-0.0435944140862173,-0.101851851851852,0.375700129254632,0.375700129254632,"WorkHour_vv_4",-0.466666666666667,0,1,7,15,1
52,0,0,1,2,0,1,0,3,1,0,0,0.0812823576264437,0.197994741592434,0.375700129254632,0.375700129254632,"WorkHour_vv_4",-0.4375,0,1,7,16,0
36,0,0,1,2,0,1,0,3,1,0,1,-0.0435944140862173,0.197994741592434,0.375700129254632,0.375700129254632,"WorkHour_vv_4",-0.470588235294118,0,1,8,17,0
42,0,0,1,2,0,0,0,3,0,1,1,0.0812823576264437,0.0913945682026244,0.375700129254632,0.375700129254632,"WorkHour_vv_4",-0.5,0,1,9,18,0
61,0,0,1,2,0,1,0,3,1,0,0,0.0812823576264437,0.243452380952381,0.375700129254632,0.375700129254632,"WorkHour_vv_4",-0.473684210526316,0,1,9,19,0
53,0,0,1,2,0,0,0,3,1,0,0,0.0812823576264437,0.0913945682026244,0.375700129254632,0.375700129254632,"WorkHour_vv_4",-0.45,0,1,9,20,0
19,0,0,1,2,0,0,0,3,1,0,0,0.0689230240155901,-0.0288836846213895,0.375700129254632,0.375700129254632,"WorkHour_vv_4",-0.428571428571429,0,1,9,21,0
57,0,0,1,2,0,1,0,3,1,0,0,0.0812823576264437,0.243452380952381,0.375700129254632,0.375700129254632,"WorkHour_vv_4",-0.409090909090909,0,1,9,22,0
47,0,0,1,1,0,1,0,3,1,0,0,0.0812823576264437,0.197994741592434,0.375700129254632,0.375700129254632,"WorkHour_vv_4",-0.391304347826087,0,1,9,23,0
57,0,0,1,2,0,1,0,4,1,0,1,0.0812823576264437,0.243452380952381,0.375700129254632,0.375700129254632,"WorkHour_vv_4",0.108695652173913,1,2,9,23,1
35,0,0,1,3,1,1,0,3,1,1,1,-0.0435944140862173,0.122190513883392,0.375700129254632,0.375700129254632,"WorkHour_vv_4",0.0833333333333333,1,2,10,24,0
37,0,0,1,2,0,0,0,3,1,0,0,-0.0435944140862173,0.0913945682026244,0.375700129254632,0.375700129254632,"WorkHour_vv_4",0.1,1,2,10,25,0
25,0,0,1,3,0,1,0,3,1,0,1,-0.0435944140862173,-0.101851851851852,0.375700129254632,0.375700129254632,"WorkHour_vv_4",0.0769230769230769,1,2,11,26,0
44,0,0,1,3,0,1,0,4,1,0,1,0.0812823576264437,0.197994741592434,0.375700129254632,0.375700129254632,"WorkHour_vv_4",0.243589743589744,2,3,11,26,1
26,0,0,1,2,0,1,0,3,1,0,0,-0.0435944140862173,0.197994741592434,0.375700129254632,0.375700129254632,"WorkHour_vv_4",0.259259259259259,2,3,11,27,0
24,0,0,1,2,0,0,0,3,1,0,0,-0.0435944140862173,-0.0288836846213895,0.375700129254632,0.375700129254632,"WorkHour_vv_4",0.273809523809524,2,3,11,28,0
18,0,0,1,1,0,1,0,2,1,0,0,0.0689230240155901,-0.0240857946554149,0.375700129254632,0.375700129254632,"WorkHour_vv_4",0.28735632183908,2,3,11,29,0
53,0,0,1,3,0,1,0,4,1,0,1,0.0812823576264437,0.197994741592434,0.375700129254632,0.375700129254632,"WorkHour_vv_4",0.370689655172414,3,4,11,29,1
21,0,0,1,2,0,1,0,1,1,0,0,0.0689230240155901,-0.0240857946554149,0.375700129254632,0.375700129254632,"WorkHour_vv_4",0.383333333333333,3,4,11,30,0
44,0,0,1,2,1,0,0,3,0,1,0,0.177212206904678,0.0913945682026244,0.375700129254632,0.375700129254632,"WorkHour_vv_4",0.395161290322581,3,4,11,31,0
41,0,0,1,3,0,1,0,4,1,0,1,-0.0435944140862173,0.197994741592434,0.375700129254632,0.375700129254632,"WorkHour_vv_4",0.445161290322581,4,5,11,31,1
