"stag","event","Gender","Age","Profession","Is_coached","Head_gender","Grey_wage","Transportation","Extraversion","Independence","Selfcontrol","Anxiety","Novator","Long_emp_retention"
26.4476386,1,0,27,0,1,1,1,1,3,1,0,0,1,0
59.20328542,1,0,25,1,0,0,1,1,4,0,1,0,0,0
48.09856263,1,0,25,0,1,0,1,1,2,0,0,1,1,0
60.25462012,1,0,22,1,0,0,1,0,2,1,1,0,0,1
89.19917864,1,1,18,0,0,1,1,1,1,0,0,1,1,1
3.58110883,1,0,34,0,0,0,1,1,4,1,0,0,0,0
105.8234086,0,0,32,1,0,0,1,1,4,1,0,0,0,1
25.42915811,1,0,22,1,1,1,1,1,2,0,0,1,1,0
9.264887064,1,0,23,1,0,0,1,1,2,0,0,0,1,0
35.28542094,1,0,23,1,1,0,1,1,1,0,0,1,1,0
114.8583162,1,0,26,1,0,0,1,1,2,0,0,0,1,1
6.176591376,1,0,38,1,0,1,0,1,4,1,1,0,0,0
82.7926078,0,1,23,0,0,1,1,1,2,0,1,0,0,1
3.975359343,1,0,29,0,0,1,1,1,2,1,0,0,0,0
101.5195072,0,0,32,1,0,0,1,1,4,1,0,0,0,1
4.008213552,1,0,22,1,0,1,1,1,4,1,0,1,1,0
139.0718686,1,0,32,0,0,0,1,1,1,0,0,0,1,1
22.73511294,1,0,34,1,0,1,1,0,3,0,0,0,0,0
16,1,0,28,1,0,0,1,0,4,0,1,0,0,0
64.19712526,0,1,19,0,0,1,1,1,4,1,1,0,0,1
8.147843943,1,0,46,1,0,1,1,0,4,1,1,0,0,0
2.036960986,1,0,48,1,0,0,1,1,2,0,0,1,1,0
50.89117043,1,1,34,0,0,0,1,0,4,0,0,1,1,0
74.05338809,1,0,21,0,0,0,1,0,3,0,1,1,1,1
11.89322382,1,0,24,1,0,0,1,1,1,1,0,0,0,0
94.12731006,0,0,25,1,0,1,0,0,2,0,1,1,1,1
19.84394251,1,0,29,1,0,0,1,0,1,1,0,0,0,0
49.14989733,1,0,28,1,0,1,1,1,1,1,0,0,1,0
72.67351129,0,0,35,1,0,1,1,0,4,0,1,1,0,1
33.3798768,1,0,38,1,0,1,1,1,1,0,0,1,0,0
50.59548255,1,0,44,1,0,1,0,0,2,1,0,0,0,0
166.275154,1,1,26,0,0,1,1,0,4,0,0,1,1,1
11.69609856,1,0,25,1,0,0,0,0,4,0,1,1,0,0
16,1,0,26,1,0,1,1,1,2,0,0,1,0,0
3.975359343,1,0,29,1,1,1,1,1,2,1,0,0,0,0
1.412731006,1,0,29,1,0,0,1,1,4,0,1,0,0,0
27.36755647,1,1,30,0,0,1,1,0,2,0,0,1,1,0
46.78439425,1,0,23,0,0,0,1,0,4,1,1,0,0,0
70.93223819,1,0,26,1,0,1,1,1,4,0,1,0,0,1
5.32238193,1,0,25,1,0,0,0,1,3,0,1,1,0,0
12.12320329,1,0,39,1,0,1,1,1,4,1,0,0,0,0
3.351129363,1,0,24,1,0,0,1,1,4,1,0,0,0,0
1.117043121,1,0,54,1,0,1,1,0,4,1,0,0,0,0
11.69609856,1,0,25,1,0,0,0,0,4,0,0,1,0,0
89.36344969,1,0,22,1,0,1,1,1,2,0,0,1,1,1
93.8973306,0,1,23,0,0,1,1,1,3,0,0,1,0,1
3.58110883,1,0,40,1,0,0,1,1,1,0,0,1,1,0
132.8952772,0,0,32,1,0,1,1,1,4,1,1,0,0,1
133.9137577,1,1,19,0,0,0,1,0,4,1,0,1,0,1
18.49691992,1,0,46,1,0,1,1,0,4,0,0,0,0,0
22.57084189,1,0,30,1,0,1,0,1,1,0,0,0,0,0
26.0862423,1,0,30,1,0,0,1,1,1,1,0,0,1,0
15.14579055,1,1,22,0,0,1,1,1,2,0,1,0,1,0
13.17453799,1,1,28,0,0,1,1,0,2,1,0,0,1,0
86.83367556,1,1,24,0,0,1,1,1,4,1,1,0,0,1
48.45995893,1,0,34,0,0,0,1,1,2,0,1,0,0,0
5.420944559,1,1,44,0,0,1,1,0,4,1,1,0,0,0
59.20328542,1,0,25,1,1,0,1,1,3,0,1,0,0,0
3.252566735,1,0,35,1,0,0,1,1,4,1,1,0,0,0
22.47227926,1,0,29,0,0,0,1,0,1,0,0,1,0,0
8.607802875,1,0,29,1,0,0,1,1,1,1,0,0,1,0
91.99178645,1,0,39,1,0,1,1,0,3,1,0,0,1,1
45.53593429,1,1,39,0,0,1,1,1,4,1,0,1,1,0
26.94045175,1,0,44,1,0,1,1,0,4,1,0,1,1,0
32.26283368,1,0,35,1,0,1,1,0,3,0,0,1,1,0
55.78644764,1,0,27,0,1,1,1,1,4,1,1,0,1,0
0.919917864,1,1,26,1,1,0,1,1,2,0,1,0,0,0
54.01232033,1,1,37,0,0,1,1,1,1,0,0,1,1,0
5.848049281,1,0,23,1,1,0,1,1,4,1,1,0,0,0
3.252566735,1,0,35,1,0,0,1,1,4,1,1,0,1,0
99.77823409,0,0,26,1,1,0,1,1,3,0,1,0,0,1
33.57700205,1,0,25,1,0,0,1,1,1,0,0,0,1,0
5.650924025,1,0,45,1,0,1,1,0,1,0,0,0,0,0
13.01026694,1,0,25,1,0,1,1,1,1,1,0,0,1,0
103.5893224,0,0,21,1,0,0,0,1,4,0,1,1,0,1
52.73100616,1,0,45,1,0,1,0,1,4,1,0,0,1,0
52.862423,1,0,38,1,0,1,1,0,4,0,1,1,1,0
14.85010267,1,1,29,1,0,0,1,1,4,0,1,1,0,0
20.69815195,1,0,40,1,0,1,1,0,4,1,1,0,1,0
53.35523614,1,0,27,1,0,1,1,1,2,0,0,1,1,0
79.01437372,1,1,29,0,1,1,1,0,4,0,1,0,0,1
42.57905544,1,0,30,1,0,0,1,1,2,1,0,0,1,0
32.32854209,1,0,31,1,0,1,1,1,2,0,1,0,0,0
144.7556468,0,0,27,1,0,0,1,0,3,1,0,0,0,1
20.04106776,1,0,22,1,0,0,1,1,3,0,0,1,1,0
9.100616016,1,0,26,1,0,1,1,0,3,1,1,0,1,0
1.117043121,1,0,54,1,0,1,1,0,4,1,0,0,0,0
118.899384,1,0,31,1,0,1,1,1,1,1,0,0,1,1
77.53593429,1,0,24,0,0,0,1,1,2,0,0,0,0,1
17.93839836,1,0,40,1,1,1,1,1,4,1,1,0,1,0
123.0718686,1,0,28,0,0,0,1,0,4,1,0,1,1,1
17.60985626,1,0,41,1,0,1,1,1,1,0,0,1,1,0
43.8275154,1,0,27,1,0,0,1,1,3,1,0,0,1,0
9.034907598,1,0,37,0,1,1,1,1,4,1,0,1,1,0
65.3798768,0,1,32,1,0,0,1,0,3,0,0,1,1,1
60.78028747,0,0,33,1,0,0,1,0,1,1,1,1,0,1
61.07597536,0,1,29,0,0,1,1,1,4,0,1,1,0,1
81.64271047,0,0,31,1,1,0,1,1,4,0,1,0,0,1
