"stag","event","Gender","Age","Profession","Is_coached","Head_gender","Grey_wage","Transportation","Extraversion","Independence","Selfcontrol","Anxiety","Novator","Long_emp_retention"
94.9486653,1,1,26,0,0,1,1,1,4,1,1,1,0,1
120.4435318,1,0,28,1,0,1,1,1,4,0,1,0,0,1
9.264887064,1,0,23,1,0,0,1,1,2,0,0,0,1,0
80.16427105,1,0,26,0,0,0,1,1,4,0,1,0,0,1
73.13347023,0,0,22,1,1,0,1,1,4,1,0,1,1,1
33.93839836,1,0,27,1,0,0,1,1,2,1,1,0,0,0
66.7926078,0,1,31,0,0,1,1,1,4,1,0,0,0,1
6.603696099,1,1,22,0,0,0,1,1,1,0,0,1,1,0
86.83367556,1,0,29,1,0,0,1,0,2,0,0,1,0,1
105.9219713,0,0,28,1,0,1,1,1,3,0,1,1,0,1
130.9897331,1,0,31,1,0,1,1,1,3,1,0,0,1,1
17.60985626,1,0,41,1,0,1,1,1,1,0,0,1,1,0
21.61806982,1,1,37,0,0,1,0,1,4,0,0,1,1,0
140.9445585,0,0,26,1,0,1,1,1,4,0,1,1,0,1
27.36755647,1,1,30,0,0,1,1,0,2,0,0,1,1,0
64.29568789,1,1,44,0,0,1,0,1,4,0,1,1,1,1
46.78439425,1,0,23,0,0,0,1,0,4,1,1,0,0,0
32.26283368,1,0,35,1,0,1,1,0,3,0,0,1,1,0
38.76796715,1,1,21,1,1,0,1,1,2,0,0,1,1,0
26.67761807,1,0,32,1,1,0,1,1,4,1,1,1,1,0
142.4558522,1,0,18,1,0,0,1,1,2,0,1,0,0,1
3.975359343,1,0,29,1,1,1,1,1,1,0,0,0,0,0
86.6036961,1,0,33,1,0,1,1,1,4,1,1,0,0,1
26.18480493,1,1,21,0,0,1,1,1,4,1,0,0,0,0
23.6550308,1,1,26,0,0,1,1,1,4,0,1,0,0,0
79.80287474,0,1,34,0,0,1,0,1,4,0,1,0,0,1
13.10882957,1,0,21,1,0,0,0,1,4,1,1,0,1,0
28.84599589,1,1,31,0,0,1,0,1,2,1,1,0,1,0
24.24640657,1,0,23,0,0,0,1,1,4,1,1,0,0,0
68.27104723,1,0,24,0,0,0,1,1,1,1,0,0,1,1
23.55646817,1,0,32,1,0,0,1,1,3,1,1,1,1,0
108.8788501,1,0,32,1,0,1,1,1,1,1,0,0,0,1
63.54004107,1,0,31,0,0,1,1,0,4,0,0,1,1,1
103.5893224,0,0,25,1,0,1,1,1,1,0,0,0,1,1
14.98151951,1,0,33,1,0,1,1,0,4,0,1,1,0,0
7.12936345,1,0,21,1,0,1,1,1,3,1,1,0,0,0
10.48049281,1,0,28,1,0,1,1,1,2,0,0,0,1,0
8.410677618,1,1,32,0,1,0,1,1,4,0,1,1,0,0
110.0287474,0,0,25,1,0,1,1,0,2,0,1,1,1,1
13.10882957,1,0,26,1,0,0,1,0,4,0,1,1,0,0
32.85420945,1,0,58,0,0,1,1,1,3,0,1,0,0,0
11.07186858,1,0,43,1,0,0,1,0,4,0,0,1,1,0
17.18275154,1,0,24,1,0,0,1,1,2,0,1,0,1,0
86.53798768,1,0,23,0,1,0,1,1,4,1,1,0,0,1
96.72279261,1,1,30,0,0,1,1,0,2,1,0,0,1,1
11.49897331,1,0,26,1,0,0,1,1,4,1,0,0,0,0
82.7926078,0,1,23,0,0,1,1,1,2,0,1,0,0,1
3.252566735,1,0,35,1,0,0,1,1,4,1,1,0,1,0
53.48665298,1,1,41,0,0,1,1,1,4,0,1,1,0,0
43.8275154,1,0,27,1,0,0,1,1,3,1,0,0,1,0
13.10882957,1,1,26,0,0,1,1,0,2,0,0,1,0,0
24.0164271,1,0,28,1,0,1,1,1,4,0,1,0,0,0
12.8788501,1,0,23,1,0,0,0,1,1,0,0,0,0,0
21.15811088,1,0,24,0,0,0,1,1,2,0,1,0,0,0
11.95893224,1,1,29,1,0,0,1,0,4,0,1,1,0,0
90.15195072,0,0,20,1,0,0,1,1,1,1,0,0,1,1
45.79876797,1,0,27,1,0,0,1,1,4,1,0,0,0,0
163.8110883,1,1,19,1,0,1,1,0,4,0,1,1,0,1
18.95687885,1,1,36,0,0,1,1,0,1,0,1,0,0,0
50.98973306,1,0,24,1,0,0,1,1,1,0,0,1,1,0
57.23203285,1,0,36,1,0,0,1,1,4,0,1,0,0,0
16.22997947,1,1,35,1,0,1,1,0,2,0,0,0,0,0
