"satisfaction_level","last_evaluation","average_montly_hours","time_spend_company","Work_accident","left","salary","average_montly_hours_vv_2","average_montly_hours_vv_3","average_montly_hours_vv_4","average_montly_hours_vv_5","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC"
1,0.78,2,2,0,1,0,-0.0274382883698472,1.32212859498077,1.60007467406296,1.13469601677149,1.60007467406296,"average_montly_hours_vv_4",NA,0,0,2,1,0
2,0.74,3,2,0,1,0,-0.0274382883698472,1.32212859498077,1.60007467406296,1.13469601677149,1.60007467406296,"average_montly_hours_vv_4",NA,0,0,4,2,0
1,0.56,3,2,0,1,1,-0.0274382883698472,1.49713480963481,1.60007467406296,1.21958791208791,1.60007467406296,"average_montly_hours_vv_4",NA,0,0,6,3,0
2,0.81,3,2,0,1,0,-0.0274382883698472,1.32212859498077,1.60007467406296,1.13469601677149,1.60007467406296,"average_montly_hours_vv_4",NA,0,0,8,4,0
2,0.94,3,2,0,1,1,-0.0274382883698472,1.49713480963481,1.60007467406296,1.21958791208791,1.60007467406296,"average_montly_hours_vv_4",NA,0,0,10,5,0
2,0.85,3,2,1,1,1,-0.0274382883698472,1.49713480963481,1.60007467406296,1.21958791208791,1.60007467406296,"average_montly_hours_vv_4",NA,0,0,12,6,0
1,0.73,5,2,0,1,1,-0.0274382883698472,1.49713480963481,1.60007467406296,1.21958791208791,1.60007467406296,"average_montly_hours_vv_4",NA,0,0,14,7,0
1,0.8,5,2,0,1,1,-0.0274382883698472,1.49713480963481,1.60007467406296,1.21958791208791,1.60007467406296,"average_montly_hours_vv_4",NA,0,0,16,8,0
2,0.75,3,2,0,1,1,-0.0274382883698472,1.49713480963481,1.60007467406296,1.21958791208791,1.60007467406296,"average_montly_hours_vv_4",NA,0,0,18,9,0
1,0.8,1,2,0,1,0,-0.0274382883698472,1.32212859498077,1.60007467406296,1.13469601677149,1.60007467406296,"average_montly_hours_vv_4",NA,0,0,20,10,0
2,0.86,3,2,0,1,0,-0.0274382883698472,1.32212859498077,1.60007467406296,1.13469601677149,1.60007467406296,"average_montly_hours_vv_4",NA,0,0,22,11,0
1,0.47,4,2,0,1,1,-0.0274382883698472,1.49713480963481,1.60007467406296,1.21958791208791,1.60007467406296,"average_montly_hours_vv_4",0,2,1,22,11,1
