"Age","Private","SelfEmp","Gov","Education","Married","Race","Gender","WorkHour","US","Salary","Prof","CScore_Education_vv_2","CScore_Education_vv_3","CScore_WorkHour_vv_3","CScore_WorkHour_vv_4","CScore_SelfEmp_vv_1","LIFT_SCORE","TREATMENT_NAME","UPLIFT","Y_TREATED","N_TREATED","Y_UNTREATED","N_UNTREATED","FOLLOW_REC","ABS_LIFT_SCORE"
72,0,0,1,2,0,0,0,1,1,0,1,2.68891215324402,3.31671047210693,-0.745250165462494,-0.526377320289612,0.845207929611206,3.31671047210693,"Education_vv_3",NA,0,0,1,1,0,3.31671047210693
17,0,0,1,1,0,0,0,3,1,0,0,2.91037249565125,3.26455473899841,0.879689633846283,1.2012619972229,0.606663167476654,3.26455473899841,"Education_vv_3",NA,0,0,1,2,0,3.26455473899841
79,0,0,0,2,0,0,0,3,1,0,0,0.619347870349884,0.792168319225311,2.6144917011261,3.07418990135193,0.78560197353363,3.07418990135193,"WorkHour_vv_4",NA,0,0,1,3,0,3.07418990135193
76,1,0,0,3,1,1,1,4,1,1,0,0.433297753334045,0.657794058322906,2.77942180633545,3.05231666564941,-0.0234492998570204,3.05231666564941,"WorkHour_vv_4",-0.333333333333333,0,1,1,3,1,3.05231666564941
76,0,0,1,1,0,0,1,2,1,0,0,1.81101131439209,2.64359140396118,-3.12031579017639,-2.98121309280396,0.710412740707397,2.64359140396118,"Education_vv_3",-0.25,0,1,1,4,0,2.64359140396118
80,1,0,0,2,0,0,1,1,1,0,0,1.06250405311584,1.31981325149536,1.87308990955353,2.41849660873413,0.358552843332291,2.41849660873413,"WorkHour_vv_4",-0.2,0,1,1,5,0,2.41849660873413
75,1,0,0,2,0,1,1,3,1,0,0,0.322632104158401,0.582219541072845,2.38751816749573,1.9118310213089,0.505545318126678,2.38751816749573,"WorkHour_vv_3",-0.2,0,2,1,5,1,2.38751816749573
17,1,0,0,1,0,1,1,2,0,0,0,0.557139456272125,1.09821736812592,1.90106105804443,2.25340533256531,0.579241156578064,2.25340533256531,"WorkHour_vv_4",-0.166666666666667,0,2,1,6,0,2.25340533256531
17,1,0,0,1,0,1,1,2,0,0,0,0.557139456272125,1.09821736812592,1.90106105804443,2.25340533256531,0.579241156578064,2.25340533256531,"WorkHour_vv_4",-0.142857142857143,0,2,1,7,0,2.25340533256531
17,1,0,0,1,0,1,1,3,0,0,0,0.557139456272125,1.09821736812592,1.90106105804443,2.25340533256531,0.579241156578064,2.25340533256531,"WorkHour_vv_4",-0.125,0,2,1,8,0,2.25340533256531
17,1,0,0,1,0,1,1,3,0,0,0,0.557139456272125,1.09821736812592,1.90106105804443,2.25340533256531,0.579241156578064,2.25340533256531,"WorkHour_vv_4",-0.111111111111111,0,2,1,9,0,2.25340533256531
17,1,0,0,1,0,1,1,1,0,0,0,0.557139456272125,1.09821736812592,1.90106105804443,2.25340533256531,0.579241156578064,2.25340533256531,"WorkHour_vv_4",-0.1,0,2,1,10,0,2.25340533256531
17,1,0,0,1,0,1,1,3,0,0,0,0.557139456272125,1.09821736812592,1.90106105804443,2.25340533256531,0.579241156578064,2.25340533256531,"WorkHour_vv_4",-0.0909090909090909,0,2,1,11,0,2.25340533256531
17,1,0,0,1,0,1,1,3,0,0,0,0.557139456272125,1.09821736812592,1.90106105804443,2.25340533256531,0.579241156578064,2.25340533256531,"WorkHour_vv_4",-0.0833333333333333,0,2,1,12,0,2.25340533256531
66,0,0,1,2,0,0,0,3,1,0,0,1.44089353084564,2.25063276290894,-0.0805719718337059,0.0669667199254036,0.618475317955017,2.25063276290894,"Education_vv_3",-0.0769230769230769,0,2,1,13,0,2.25063276290894
66,0,0,1,2,0,0,0,3,1,0,1,1.44089353084564,2.25063276290894,-0.0805719718337059,0.0669667199254036,0.618475317955017,2.25063276290894,"Education_vv_3",-0.142857142857143,0,2,2,14,0,2.25063276290894
30,0,1,0,3,1,1,1,4,0,1,1,0.185921281576157,0.59278929233551,0.237177357077599,0.442107081413269,2.24081420898438,2.24081420898438,"SelfEmp_vv_1",0.19047619047619,1,3,2,14,1,2.24081420898438
18,0,0,1,2,0,0,1,1,1,0,0,-1.44673693180084,-0.445084542036057,2.09092807769775,2.23143982887268,0.359115868806839,2.23143982887268,"WorkHour_vv_4",0.2,1,3,2,15,0,2.23143982887268
32,0,1,0,3,1,1,1,3,0,1,0,0.315480440855026,0.624560058116913,0.330703258514404,0.465368300676346,2.22818851470947,2.22818851470947,"SelfEmp_vv_1",0.116666666666667,1,4,2,15,1,2.22818851470947
31,0,1,0,3,1,1,1,4,0,1,1,0.316502928733826,0.624212145805359,0.302577912807465,0.438999444246292,2.22810578346252,2.22810578346252,"SelfEmp_vv_1",0.266666666666667,2,5,2,15,1,2.22810578346252
31,0,1,0,3,1,1,1,4,0,1,1,0.316502928733826,0.624212145805359,0.302577912807465,0.438999444246292,2.22810578346252,2.22810578346252,"SelfEmp_vv_1",0.366666666666667,3,6,2,15,1,2.22810578346252
67,0,0,1,3,0,0,0,3,1,0,0,1.42994892597198,2.20182681083679,-0.805179417133331,-0.632163345813751,0.584801137447357,2.20182681083679,"Education_vv_3",0.295238095238095,3,7,2,15,1,2.20182681083679
19,0,0,1,1,0,0,1,2,1,0,0,-0.313711524009705,0.666775822639465,1.91871070861816,2.19432830810547,0.612804651260376,2.19432830810547,"WorkHour_vv_4",0.303571428571429,3,7,2,16,0,2.19432830810547
18,0,0,1,1,0,1,1,3,1,0,1,1.00723516941071,1.8071676492691,1.99734175205231,2.18218994140625,0.163787662982941,2.18218994140625,"WorkHour_vv_4",0.252100840336134,3,7,3,17,0,2.18218994140625
18,0,0,1,1,0,1,1,2,1,0,0,1.00723516941071,1.8071676492691,1.99734175205231,2.18218994140625,0.163787662982941,2.18218994140625,"WorkHour_vv_4",0.261904761904762,3,7,3,18,0,2.18218994140625
18,0,0,1,2,0,1,1,2,1,0,0,1.00723516941071,1.8071676492691,1.99734175205231,2.18218994140625,0.163787662982941,2.18218994140625,"WorkHour_vv_4",0.270676691729323,3,7,3,19,0,2.18218994140625
18,0,0,1,1,0,1,1,1,1,0,0,1.00723516941071,1.8071676492691,1.99734175205231,2.18218994140625,0.163787662982941,2.18218994140625,"WorkHour_vv_4",0.278571428571429,3,7,3,20,0,2.18218994140625
18,0,0,1,1,0,1,1,3,1,0,0,1.00723516941071,1.8071676492691,1.99734175205231,2.18218994140625,0.163787662982941,2.18218994140625,"WorkHour_vv_4",0.285714285714286,3,7,3,21,0,2.18218994140625
18,0,0,1,2,0,1,1,4,1,0,0,1.00723516941071,1.8071676492691,1.99734175205231,2.18218994140625,0.163787662982941,2.18218994140625,"WorkHour_vv_4",0.232142857142857,3,8,3,21,1,2.18218994140625
18,0,0,1,2,0,1,1,1,1,0,0,1.00723516941071,1.8071676492691,1.99734175205231,2.18218994140625,0.163787662982941,2.18218994140625,"WorkHour_vv_4",0.238636363636364,3,8,3,22,0,2.18218994140625
18,0,0,1,2,0,1,1,1,1,0,1,1.00723516941071,1.8071676492691,1.99734175205231,2.18218994140625,0.163787662982941,2.18218994140625,"WorkHour_vv_4",0.201086956521739,3,8,4,23,0,2.18218994140625
42,0,1,0,2,1,1,1,4,0,1,1,0.298939764499664,0.622498869895935,0.329511970281601,0.474121749401093,2.16119623184204,2.16119623184204,"SelfEmp_vv_1",0.270531400966184,4,9,4,23,1,2.16119623184204
42,0,1,0,3,1,1,1,3,0,1,1,0.298939764499664,0.622498869895935,0.329511970281601,0.474121749401093,2.16119623184204,2.16119623184204,"SelfEmp_vv_1",0.326086956521739,5,10,4,23,1,2.16119623184204
46,0,1,0,3,1,1,1,3,0,1,0,0.304433315992355,0.616000771522522,0.320035219192505,0.465811282396317,2.14967012405396,2.14967012405396,"SelfEmp_vv_1",0.280632411067194,5,11,4,23,1,2.14967012405396
